赚,半数嫌贵
按,宫女失口提前事
按,手扶上宾下角楼
燕,北方四岛一念悬
燕,一见上菜，口水下落，点点滴滴。
燕,北字穿个眼，上下廿四点。
燕,袁天诛地灭，北进如火如荼，唯余不得一用
燕,孔明借箭草人充，曹操北兵走西东，一口想吞孙吴地，却遭周郎用火攻
燕,蒋介石损兵折将，吴佩孚天命该绝；北伐军两路并进，熊克武有智无能
燕,二十路电车开进北站口，叮叮铛铛
翛,关公走麦城
翛,关云长刮骨疗伤
吓,下到后台吃一惊
吓,虽处上而犹思下
吓,下边有口
吓,中心一点方明确
吓,颔
晔,中日合作
晔,明月当空照九州
晔,人生七十似奔晷
晔,一衣带水国相邻
睊,月照台前泪水流
睊,眼前一片月
睊,看上去只有半月
睊,仰首凝思望蟾宫
睊,眼前一片冰轮涌
睊,仰首望蟾宫
镆,莫等黄昏后
镆,莫等黄昏后归来
谌,甚有道理可依靠
谌,甚有道理
谌,甚有道理可依依
谌,甚有计划
谌,甚有道理可依据
魉,两个鬼头
魉,两个鬼魂并排坐
魉,两个鬼脸
魉,两个鬼魂并排站
魉,两个阎罗
魉,两个鬼
魉,两个鬼魂
魉,两个鬼魂并肩坐
遵,过会儿一定别冲动
遵,首先得过东北潭
狃,猝倚一隅半含羞
狃,只因容陋才低头
欤,与人起争端，闻者皆有虞
欤,两边都要写下下款
欤,山屿已远去，矣乃余声留
欤,写下欠单深感叹
挠,部分揭晓
挠,去找点儿高丽参
挠,拂晓前后集合
挠,翘首指望诏书下
匍,句似杜陵脱口成
跻,步调一致
厅,厢外亭后听声传
厅,西边行出见新月
共,黄河由此水可清
共,不知其二
共,不退洪水不罢休
共,牵连两地压愁眉
共,奉献爱心抗非典
共,拱手让人
共,失其心也
共,基本上杜绝了三乱
共,一并颠倒
共,二十六不足，二十八有余
惫,四方归客心连心
惫,有心扶持半致富
柴,这棵树
柴,此未解者一也
柴,此木做不得栋梁
吻,宫中勿得会亲人
吻,不要讲话
吻,勿求偏方
吻,拒亲
謧,离别话
謧,离别有言
箭,从前点滴要记住
获,草生囹圄静
获,两只狗儿不一样，双双并肩草下躺
获,左边一条狗，右边一条狗，藏在草下不露头。
获,丛间双犬卧
获,草堆下面两只狗
获,正是甲戌偶相逢
获,两只狗，草底走
舨,归航
溜,柳枝折送西江畔
溜,蓄水池
背,残花翻飞月落低
背,月上始见残花影
背,冰蟾如水放悲声
背,水映清辉悲声起
旰,旱情变化
旰,每天每日工作忙
祮,士别一日
思,东西南北连阡陌，三颗疏星月一钩
思,一张口，十颗心。
思,一心想种田
思,虽有十张口，只有一颗心，要想猜出来，必须动脑筋。
思,大丈夫力不从心
思,清波映月绕山峦，南亩扶犁白露沾；息隐冈中须蓄志，一心要把四方安
思,一心收集四方联
思,日日相系心上头
思,小舟搏浪入画中
思,四面山溪虾戏水
思,留下一片心
思,扎根务农
思,有心改变旧面貌
思,小窗残月细雨飞
思,有意莲叶间
思,水间莲叶小舟
思,十
思,重阳相逢消前愁
思,愁对秋空念重阳
思,日日相系心头上
思,半亩方塘一弯溪水
思,叶动心不动
思,三星伴月如画里
思,扁舟一叶水连天
思,一弯新月沉江底，四面青山入画中
思,四方团结共一心
掊,接送姑娘上前哨
掊,捧哏站左边
洛,黄昏无酒辞上客
洛,一颗丹心图改革
洛,临流半是弹冠客
洛,江边雾中露船尾
洛,在水一方系客心
洛,雾中西湖如少女
齣,出口成句
羹,二羊分明是美人
繑,袖口不露针脚处
巨,开渠送水放木排
巨,破格重用意义大
巨,用木料做成柜
巨,春水一到渠便成
巨,春来渠水流
巨,君不君臣不臣
魜,人鱼共存
魜,山东宜人
魜,人鱼相连
魜,山东变化大
织,重峦只见一斜道
织,八方支援前线
织,只身异乡遇知音
獭,猴头一败受约束
瞧,观音桥
鴐,鸟儿加一点
鴐,架子鸡加点
鴐,鸟儿加一半
鴐,鸟儿加一只
其,共有白云心
其,百岁还差一个月，返土归根情急切
其,一共添两横
其,后月相逢定有期
其,共填二横
其,共有二横，猜二不对。
澶,一朝归来泪四溅
昀,一钩新月晚凉初
栊,先到湘中后陇东
栊,戊辰年迎春
栊,一袭破衣挂杖头
涅,一方水土
涅,落日掩映半江城
涅,日照池塘边
涅,汪日勾结，一定灭亡
陉,东郊荒径无人迹
陉,泾河流水入陕西
陉,八五改革劲头足
了,依旧一阳生
了,一见是老鼠
了,上下挂钩
了,有病医治等一会儿
了,小不点，体相攀，一个趴着，一个站
饨,广积粮
配,酒后之言记得前
配,独自把酒干
笼,个个乘龙
笼,陇西之行留个影
笼,聚拢后留个影
瞀,把矛放眼前
瞀,矛头放眼
瞀,我把矛放眼
瞀,眼前唯有矛
棉,帆影归来带散香
棉,树先进，帮后进，团结昂首向前进
棉,吊脚楼前泉水流
棉,吊脚楼前泉水清
棉,香巾索字花攀枝
棉,楼头秋色帘半掩
棉,白帆半挂依疏柳
棉,李白着巾夜半回
棉,白帆一片桅边悬
棉,一条白毛巾挂在木头上
棉,半帘春色系中原
棉,春来市头消积雪
棉,枝头梨花遮半帘
鹄,先诉鸭后诉鸡
鹄,先诉鸭后诉
鹄,鹤鸣于野
妙,男人世界
妙,偏好不宜多
妙,男生太多
妙,二八佳人
妙,如要吵，双方都出去。
妙,婚前少见面
妙,豆蔻年华
妙,如少掉一口，不能猜作女。
妙,小姑娘
妙,大圣无心杀小妖怪
加,唯求别落后，改革传佳音
加,别后不见有变化
加,架空之后
加,向心力增大
加,勤劳方正好家声
加,离别之后有变化
加,四方齐合力，佳音传更多。
加,架上鸡鸭连声叫
加,启动之后传佳音
加,另有变动
加,动嘴又出力
加,呈上力作候佳音
加,劝告后进志不减，勤苦终生扬家声
加,另有变动传佳音
加,另作安排
加,星洲辗转报佳音
迁,适当出口
迁,残月扁舟入画中
迁,新月挂桅舟自横
迁,我行途已千
迁,还不去干活
隥,登上桅杆望东方
隥,登上桅杆望江东
脗,唇齿相依月西移
脗,唇齿相依月中来
翊,楚霸王自立
厚,在厂里过日子
厚,子在川上曰
厚,三更明月落，斜雁掠空飞
厚,一旦了结前愿
郛,浮生东郓浑不知
郛,东都夜半寻鹤迹
脑,减肥之后心不恼
脑,风中云头乱，月下山朦胧
脑,离别后近三十天
脑,离开半月
诞,延长前言
箯,个个乘风便
箯,人人方便
埙,少陵赏尽小桥春
挽,着手晚了一天
挽,日以继夜抢先到
挽,舍弃冠冕报先生
挽,节日晚会露一手
襟,木偶服装展览
庖,全面实行生产责任制
庖,东西咸容
庖,厂里承包先抓点
庖,普遍实行责任制
庖,开石矿承包
庖,这东西只可饱看不可食
披,扯皮当制止
姝,小姐眉独秀
姝,明姑娘
姝,豆蔻梢头二月
姝,红娘
姝,未到白头妻先去
姝,牛女人间结姻缘
姝,红娘子
邪,穿下不穿上，站在院一旁。
邪,犹见陌头草吐芽
詾,匈奴语多
詾,匈奴语
詾,出言匈奴
詾,匈奴方言
诸,从来坐而相论道
诸,许褚赤膊飞马出
诸,空空道人
诸,通告即日高考
诸,和谐无比调阴阳
诸,中秋以谜语团圆
诸,有人来存款
诸,来者留言
诸,考试前一天
噪,解困之后出产品
噪,巧妙合作出成果
噪,楞
酰,先到西安
酰,酒后拟与儿相会
酰,酒后拟与儿相狎
酰,酒后拟与儿相似
酰,先到西藏
唔,复员之前，入伍之后
唔,双方相会六一节
油,江畔短笛悠扬声
油,一山一水紧相连
油,入水反得第一名
油,西湖吹竹笛
油,溪边有只断尾猴
油,山含落日浸涟漪
油,倒数第一演后溜
油,带雨云埋一半山
油,涧边残庙犹传声
陨,月阴过后分外圆
觥,赤膊上阵
觥,十分明亮
讧,云游天下
讧,随从栽赃陷害
讧,巧舌如簧
妒,妇道人家
妒,玉楼月落伊人至
妒,伊人入室
妒,寡妇门前生醋意
妒,家有千金人忌恨
妒,家在东楼低层
雾,清零之后务必聚
焉,老马掉头正相顾
焉,声咽正捱五更度，点点泪共滴滴雨
辈,旅行坐飞机
蜚,非要集中到一点
蜚,一点抵达中非
驯,马后王横飞横棒
驯,孟起投蜀
驯,平野有千里
驯,桃花帘外东风软
驯,的卢此际抵檀溪
遥,二儿远离摇手别
廛,八里庄园
廛,八里庄里
廛,庄里八十里
廛,纵横里八地
廛,里八十里
廛,庄里八千里
麄,三五小舟鹿角上
麄,三五小舟鹿背上
麄,三五小舟鹿角尖
麄,分明是八角鹿
麄,三五小舟鹿角渡
麄,一分梅花三分鹿
麄,三五小舟鸥鸟飞
活,乱抛鱼钩钓水花
活,湖月渐消一抹斜
活,冷水冲糖慢慢溶
活,大河边一轮新月
活,欲话无言任泪流
活,欲话无言听水流
活,故人东去到上海
活,东海沉落天亦倾
活,演出时间，不要说话。
活,欲话无言听流水
活,避乱江东度此生
活,古运河畔新月影
粒,复来北京投远亲
粒,在粮站左边
茨,未央少女尽英姿
茨,含羞少女现丰姿
磴,码头依旧灯火残
弃,离开台北到北京
弃,亭台高处草丛生
艚,余音一曲伴舟行
瘠,孤星遥对月
奔,纵然离开要大度
奔,一人正在花前
奔,纵横天下二十载
奔,带头改革，天下为先。
奔,十三大改革步伐快如飞
奔,十三大
奔,十分开心人相会
奔,十三大团结前进
奔,开创一个联合体
奔,带头改革贡献大
奔,人归落雁后，思发在花前
奔,纵横开合在人间
奔,带头改革，天下为先
奔,而立之年贡献大
奔,十三大体现一个快字
奔,人一到三十就立
奔,清除弊端改本象
奔,南共北，正分裂
奔,夫人一去三十载
隐,争先恐后竞扬帆
隐,邹容一心求变革
隐,西部开发不容缓
七,大陆生产白加黑。
七,毛女受到腰际斩
七,说奇便奇，说巧也巧
七,花草凋零人离去
七,放上白的，变成黑的。
七,卷尾猴出笼
七,十字尾吧弯弯数数数目少三
七,切下一刀，不多不少
七,十字尾巴弯弯，算算数目少三。
七,白加黑
七,有了白，反而黑。
七,引进人才能变化
七,花落人亡两不知
七,虎无头尾必称奇
廊,万里长城
壶,一贯献爱心，十载显高节
壶,劳心创业读书人
壶,令公军前壮士在
壶,纵横栏杆隔画桥
壶,十一号荣中二名
悚,统一祖国得人心
悚,菜根抿口自舒心
悚,参差叶落扰人心
春,夫一日之变
春,东京旦暮伴郎君
春,一日不见，判若两人
春,真心相会意中人
春,一夫当关守南阳
春,总有一天出头日
春,自有一日出头天
春,三人看日出
春,奉先走马向东方
春,与人相交，应真心相待，不可一日不如此
春,忽见陌头杨柳色
春,奉先早有取卓之心
春,一统燕中秦始立
春,鉴真心系东瀛
春,一旦改革大有作为
春,为人要一日三省
春,真心牵挂意中人
春,三叠琴心明月下
春,三分天下晋终承
春,否泰参半度一生
春,奉先早有取卓之心，三明不除非为人也
春,明月逐人来平川
春,平川雁阵映残阳
春,扶桑长系鉴真心
春,三分天下晋而终
春,人参锁阳
春,三人同日来，喜见百花开
春,一再找寻意中人
春,三人跨日冬已去
春,前秦后晋
春,节奏分明
春,三人周末一同见
春,连环计套吕奉先
春,先后结成秦晋好
春,三人相聚清明后
春,大西北一日
春,一统燕中秦始立，三分天下晋终归
春,三分天下
春,奉上扶桑古名酒
春,来秦之后天下安定
或,一心犹悬故国中
或,列土封疆，心存不解
或,旧中国
或,班超平西域，封定远侯
筝,一个个来，别心急，要小心
筝,雪下垂钓头负笠
筝,互不相让
筝,个个争上前
筝,各不相让
亍,唯有乳下孙
靃,大雨落在屋顶上
貂,解困之中召唤虎
颎,一笺残花页
箬,笔友走后方牵念
箬,竹影摇落若飞鸿
揽,提前览毕
揽,提前览览
揽,提前览胜
颃,几度芳心倾后生
颃,松下赋就游杭颂
方,芳草凋零
方,遇人就照办，见草定飘香。
方,《小芳》唱罢唱《小草》
方,四边芳草已凋零
方,星临万户出门看
方,游子离去人泪垂
方,加一点有四边
乃,分娩之后
乃,有人照常随手丢
乃,妊娠怀一子
淳,高温季节
旭,佳偶天成
旭,九时缺十分
旭,五四迎朝阳
旭,不足一旬
旭,九天
旭,八一南昌迎朝阳
旭,九号
旭,九星聚会，一生难逢
旭,抛弃两边留中间
巡,曲水浪花溅龙舟
巡,龙舟竞渡
巡,标示左急转，连连刹住车
巡,兰舟催发柳三变
巡,东风齐着力，一舟扬三帆
巡,相送出关雁阵来
巡,雁群追舟
巡,山路崎岖，前方左转弯，注意落石
巡,游龙戏珠鳞波三迭
巡,扁舟剪破三重浪
巡,相与枕籍乎舟中
巡,三人偃身荡龙舟
巡,一叶扁舟轻帆卷
巡,风鼓三帆船西行
巡,舰载机群正降落
巡,舟轻不觉入鸥群
巡,一行归雁落空船
巡,群雁追舟
巡,数行横塞雁，一叶小扁舟
巡,三帆迎风荡小舟
巡,龙舟泛荡水涟滟
巡,东风齐努力，一舟扬三帆
芡,昔日一去犹未还
芡,一念之差
芡,建设苏北人争先
盒,盛名之下变化大
盒,拿出手进盅
盒,盛名之下大变样
盒,盛名之下、大有变化
盒,盛名之下大改观
犄,其丑无双
犄,改革之年，大有可为
犄,没有马骑用年代
肉,二人同行去一方
肉,天下多有负心人
肉,人人开口
肉,两人乱跑丢了一
肉,一人在内
肉,双燕齐飞欲出墙
肉,内部有人
肉,妻
肉,吾妻
肉,内里有人
肉,妻子
肉,同心舍生更从容
耋,人到中年
耋,镜中朱颜改
迸,独放扁舟至太原
迸,同舟共济一道行
迸,双双并肩行
迸,携手同心走四方
睋,先生看我
睋,我的眼睛
洎,水来自助餐
洎,自来水
洎,自有清泉流自来
洎,水自清泉流
洎,自在河边自相随
洎,水流湍急山自闲
洎,自流自在
洎,自流自在水一方
姑,合十见如来
姑,古巴女排离川东
姑,仿佛在画中
姑,生女正靠心
姑,吃尽苦头好向前
姑,莫愁湖边走
姑,改变旧貌带好头
姑,湖光水月西施女
姑,居里夫人
姑,爱心献予搬迁户，协助得安居
姑,虞美人
才,门虽设而常关
蔺,犹念同心故旧心
役,人人防疫病不生
役,人人有备疫病退
役,二人为股东
役,人人参战疫病除
役,几时又见白头人
奸,不是男人做的活
奸,千金散尽辨是非
奸,士女缘何不并头
喁,番禺之声
喁,番禺出口
纶,沦落浪迹居异乡
笕,少见用毛笔
笕,众目共睹
笕,板桥画高数竹儿
宪,乌纱帽先戴好
宪,欲见先生须摘帽
宪,先生致富后福生
折,巧手出自匠心
折,撕掉中间剩两边
折,断一半，接一半。连起来，还是断。
折,撕去中间难辨析
折,小舟从此逝
折,断一半，接一半，接起来，还是断
折,铁拐李转圈
箛,孤儿泪两行
箛,孤儿泪双垂
蜎,孤帆一片月边来
蜎,孤帆远影月西斜
蜎,孤帆一片月中悬
蜎,孤帆一片月朦胧
蜎,孤帆一片月如钩
蜎,扬帆破浪去，孤帆一片月
蜎,蟾宫有位如钩月
蜎,孤帆一片月西移
蜎,孤帆一片月相伴
蜎,孤帆远影下，月下犹挂念
蜎,孤帆一片月西沉
鱮,山东与君共舟行
事,窗前雁阵平掠过，水中依稀横山映
事,一方山影长勾留
至,王者无私
至,上面下去，下面上去
至,片刻即到
至,一去变了样
至,上去上去，下去下去
至,人在弟子在
至,拆去屋顶
至,去时两地隔，辗转一齐来
至,上头去下头，下头去上头，两头去中间，中间去两头
至,远山隔君颜
邘,于东郊之行也
邘,于阵前相助
邘,于东郊作别声
邘,于东郊之行
邘,于东郊作别
桀,残年岁尾望春归
桀,日暮村西牛影归
桀,年终夜残春欲归
牙,出言诧异
牙,一片相思化乌有
葚,桑下老翁甚可爱
葚,桑梓之畔甚有意思
葚,桑下之子甚可爱
葚,桑下耕耘甚可人
葚,桑梓之畔甚美好
蚡,孤帆一片分南北
纸,新乡落日昏
纸,残红飘落日已昏
纸,择吉日命女结婚
水,养成寒碧映绿漪
水,两泪枕前冰
水,小于号，小于号，全靠小心别去掉
水,小心翼翼
水,至今流不到腮边
水,两点结冰
水,但求少一点便是
水,一箭飞坠双飞翼
苁,用心改造重做人
苁,黄昏双燕恰飞来
悴,心卒不知悔
悴,心卒
悴,七十二变心卒
投,抬头见凤分南北
投,又见携手几度来
投,战疫除病需抢先
踥,妾念君来迟
蛀,孤帆一点入江东
懋,春心萌动柔音貌
懋,一矛穿双树，一钓乱碧波
盔,血与火的一生
盔,前盟废却遭尘封
盔,一捧余烬掩血痕
盔,烟缸
惰,用心多加工，有典化无典
惰,工作要有进取心
佗,人倚珠桥看落英
佗,人有一点虚荣心
佗,窗前俯首拾花瓣
苹,萍水相逢
苹,二五耦
苹,草坪前后
苹,似乎在花前
苹,似乎回到廿载前
苹,花冠翻过东墙头
苹,二一二五
啸,子敬言后笑声扬
啸,个个吹箫上台去
钮,牛年进财
钮,金牛凿破人间路
钮,金牛座
钮,金牛座上没朋友
钮,金牛凿破牛尾巴
犴,狂人多自大
犴,狂生一至此哉
犴,一来就是四方狗
犴,独来独往干一言
犴,独自坐下不罢休
凰,几度白头相伴侣
凰,凤辇鸾舆乘风去
凰,几度皇上化凤头
凰,几度白头相伴君
凰,凤辇鸾舆去几回
凰,几度白头相交
凰,几度皇上见凤来
咏,心哀柳三变
咏,永跟党中央
咏,赏心偏爱柳屯田
咏,永结同心一起飞
溽,龙游浅水
汛,问讯无言泪痕在
賱,装甲兵
袁,周围一望是故园
袁,一衣带水入空堂
袁,一口咬断衣服
袁,一口咬断牛尾巴
袁,一衣带水同归去
袁,一衣带水同居士
袁,一衣带水共赏台
付,村头隐约有人来
付,小人国
付,半导体
付,附耳上来
付,十分吸引人
付,避俗幽谷守高节
付,十分需要人
付,时到日落人方归
戗,斩木成枪戈
戗,你左我右同进攻
戗,刀枪并列防守中
戗,刀枪并列防守城
辖,车祸在所难免
辖,车祸
辖,车到桥下非常危
辖,车一到就害
辖,车到桥下害伤人
闰,一点到达玉门关
闰,琴端排遣心中闷
闰,球从左边飞入空门
闰,球先射入门
世,老叶衰草知春去
世,草木丛生呈繁叶
世,一字若廿七，看似也，音是也，却非也。
世,甘心让位当配角
世,草木生繁叶
世,甘心去当配角
驸,千里来人，十分要紧
驸,人马先行，末将殿后
驸,信马归来时，无言对落日
蝽,清明之前蟋蟀返
蝽,清明之前蟋蟀来
蝽,闽中重逢燕双飞
五,来人入行列，张口即叫我
五,此字用心方悟得
五,添上一口就是我
五,吾被人言欠口信
五,一一用力
五,有人入伍
五,用方言对话
缕,妆后半掩绝色无
缕,江东春色入红楼
缕,楼头春尽留残红
海,溪畔卧枯梅
海,游子方离母牵挂
海,人来堂上眼衔泪
海,后悔泪淋淋
海,满目挂泪心生悔
海,泪眼迷离心犹悔
肚,杜鹃声住春去也
肚,今时不及旧时月
肚,引人入胜
肚,一年少三十天
肚,仲冬
迄,小舟人卧伴鸥眠
迄,吃亏一方还不甘休
匙,东北是东北
匙,一一满足方倾心
匙,人约黄昏后，风吹花影动
匙,虚心求是
匙,夕照落英人影斜
厩,处危境中空感慨
铕,没有钱
铕,有钱人出钱
铕,有钱也要出钱
铕,有钱却没有钱
铕,有钱来当饭吃
碜,磊
尢,一无所有
全,一贯真心来待人
全,国庆大变样
全,一人之下，万人之上
全,一线工人
全,帝
全,点滴积累才成金
全,为中国排球后继有人
全,大干大变
全,望断南飞雁
全,万众聚首迎国庆
全,只要有一人，就要干下去
全,自己承包
全,两行雁字排连中
全,立户头存入现金
全,金燕双飞聆泉声
全,一线工人团结紧
全,大王头上有一人
全,大江截流改旧貌
全,点滴积累可成金
全,点滴成金
全,老王寄人之下
全,三个凑在一起
全,大干变了样
全,独酌无相亲
全,待人一贯真心
全,工作大变样
全,个中三昧
全,大江截流换新貌
全,现金靠点滴积累
珩,凤辇刚从跸路过
珩,自君之出矣
珩,同行十二载
珩,怀其璧，从径道亡
憝,敦促后辈要用心
憝,敦促后辈要虚心
憝,夜半亭前写心得
憝,敦促后辈用心改革
憝,敦促后辈，要虚心
参,远山垂柳斜，雁阵一行过
参,杉杪风梳叶，云根雁叠书
参,丝丝杨柳云天下
参,残云掩天际，垂柳舞东风
参,丝丝柳影云天下
参,残云隐雁阵，平堤斜竹影
参,一片残云遮天顶，三条垂柳舞东风
参,云下雁阵横残影
参,台上一人放影片
衍,江西分行
衍,进水行不成
衍,三点集中分行
衍,水中赶路
衍,一水相隔难成行
衍,街心流水洗尘埃
衍,洒水冲净街心土
衍,江湖入市流
衍,水洒街心尘埃消
衍,中流自在行
魏,所托非人
魏,八千女鬼
忌,改掉后心添嫉妒
忌,默记在心上
忌,记在心上，莫要说出
忌,记一半，忘一半
逗,送出关后引相思
逗,扁舟一叶载相思
逗,当选先进心中喜
逗,送出关后心中喜
逗,送别娘子添相思
圬,城边污水已排干
球,求得理解后
球,玉米杂交
虙,一箭射中虎腹
虙,虎心犹似箭
盗,陶瓷处理品
需,有米要果腹，有衣能御寒
需,三人冒雨而来
需,雪落横山而不见
需,而今大雨降临
需,而今天下有雨
需,而今天大雨
需,冒雨而来
昙,南昌多云
昙,当阳道
昙,早上多云
昙,无人会得个中意
昙,山阴道上曙色微
昙,晴空一色排云上
昙,云来明月暗
昙,明月当空云相伴
昙,一旦云开复见天
昙,云飞在天
昙,此中意无人会
昙,莫道浮云终蔽日
砒,残花两瓣飘岩下
砒,岩下对弈
桦,花下树旁正相会
桦,九州送春归
桦,梅花半落系心田
桦,枝叶半凋花半谢
桦,出点子见才华
桦,春来还发旧时花
桦,七十上下休分开
眚,牵牛银河隔望眼
眚,彼童子之师
眚,要生存，先把泪擦干
叱,残花飘落空谷上
叱,方见花残叶半残
叱,花草凋零叶半垂
叱,花草凋零叶正落
叱,宫中美人多倾心
叱,花草凋零叶参差
叱,花草凋零叶半残
鲀,山东屯
鲀,河豚
鲀,河豚鱼
纒,点点营火照庄前
窝,同心不容易，听我说一声
跪,如临深渊，如履薄冰
锄,慷慨解囊
锄,经济支援
锄,赠款
驳,区区之心在千里
驳,对错不分称大哈
驳,飞龙安可乘
驳,桃花错落带斜阳
驳,上下齐心追千里
驳,马上见对错
驳,区区之心系千里
杜,空城成机无几知
杜,得地本虚心
杜,十八加一
杜,土木结构
杜,中东之行
杜,平均地权
杜,森林被毁地也荒
杜,一生受委屈
杜,中东
杜,大地同春
杜,左十八来右十一，十八十一在一起，左边给你柴火烧，右边给你粮食吃。
奘,老将带头兵奋前
奘,雄心不减，大有人在
文,闻其声，观其形，无一知其义者
文,闻声知是孟尝君
文,后卫失误送一球
文,伤心的风一点儿也不受伤
文,消灭蚊虫
文,双管齐下
文,堆土为坟
文,一点误会
文,失之交臂
文,贯成一义
文,二帝归来发已斑
文,六根清静也出错
文,一点误会别动武
文,高高在上终须错
文,晴雯错把芳心许
文,整个章节，字迹潦草
威,雄纠纠，气昂昂，藏獒怀中抱女郎。
威,佳人相约黄昏后
兔,连日晚点
兔,晚来日沉星点稀
兔,少了一点，全部不要
兔,轻舟飞逸
兔,免受一点牵连
兔,既来之，则安之
兔,含冤摘掉乌纱帽
娲,囡
娲,二月里来听蛙声
娲,肖夫人
罝,三层楼旁坐，四个窗间响
佘,余有不足，请人示下
佘,无钱人向小二赊
佘,似不见一人
玳,称为摄政意如何
玳,一朝天子荡秋千
赘,熬到头来有赚头
订,汀畔水清读书始
订,边打边谈
订,不谈甲乙丙
订,第四个发言
订,挑灯剔火读西厢
订,昏昏灯火话平生
睃,斜着眼看
睃,斜着眼睛看东西
苤,花冠不整下堂来
豫,自家的照片
豫,矛
豫,似我
甥,何谓添丁
甥,弄瓦之喜
甥,儿子出世
甥,目不识丁
甥,不是女同学
甥,弄璋之喜
甥,虽称生，其实是姐儿、妹子
甥,听声音知是妹子，看样子生了儿子
甥,唐二婶的希望
呓,河间芳草南游鹅
呓,授艺有方
呓,方见野凫潜苇里
呓,说唱表演
邳,十分明显，隐藏不了
鸼,一只小鸟飞入船
鸼,一只小鸟飞上船
羔,美人一去四点回
羔,恙清心上火，磨米未成糕
羔,美人一行马蹄迹
羔,此下暑意消，大连就是美
侨,离川参加人大会
侨,人归断桥西
侨,人立断桥思故土
迎,昂首前去逐龙舟
迎,仰首不见远行舟
蛙,闺门掩映烛光冷
蛙,头虽可断佳人难得
蛙,清除浊水街边净
蛙,左边有一只小虫子，右边有两堆土
铧,中西合璧
贼,十载操戈财半空
贼,临财误认狗能得
贼,从戎始赠相如赋
瓣,弃孤子苦苦求和
瓣,此中存瓜葛，欲辩已忘言
齽,禁止喧哗
齽,森林被毁禁止入
齽,禁止出入
厦,原上春去秋未到
厦,厂里没有春秋冬
厦,二季度进厂
吟,口令传左右，一点无作用。
吟,东西排列勿含糊
吟,念子心切，子出游兮心何安
吟,纵横古今成高咏
吟,如今红颜不复存
吟,今日一别侍相逢
吟,只今明月一分无
因,一定要控制人口
因,里面是大的，外面是方的。
因,明月逐人归
因,大力能容天下
因,人踞一方
因,一去作南冠
因,人攀明月不可得
因,大框框不能破
因,无火不生烟
因,一字排开皆下狱
因,雁阵蔽日
因,个体承包
因,未见烟火
因,修改袷衣装大方
因,意中人
因,有女是亲家，有火起云霞，有草铺床第，有心感激他。
因,人一定要有国格
因,无端得罪人
篆,一线牵来两个缘
篆,个个断前缘
篆,写两个字断前缘
鐄,黄昏方见钟声来
鐄,黄昏钟声闻四方
鐄,一抹斜阳映金黄
鐄,黄昏方见钟声响
鐄,黄昏钟声闻不见
酆,山间望远树，阵前寄相思
麧,麦乞
匣,走出误区旧貌改
匣,名列榜首，破格入选
匣,三围得第一
匣,关闭闸门开东口
曜,复习要先易后难
曜,一日复习，习以为常
曜,翟天霸地
軠,千里相逢在车前
軠,千里來相会
蟹,牛角刀下虎头生
蟹,牛角上的虫
蓥,桥头秸草呈秋色
诏,话到嘴边留上一半
闽,后卫带球传中，射门，进了
闽,开户半蟾生
闽,蚕室
闽,蠨蛸已在户
闽,扬帆转舵入闸门
闽,问得直接一点
闽,门空烛暗一念泯
闽,底线传中球进门
闽,底线传中，抢点射门
张,躬身自省长此生
张,残月长相伴
张,看君瑞五尺身高
张,左边半弯，右边不短，左右一起，射箭方便。
张,长安月一弯
维,一丝不挂难舍心
维,一丝不挂难舍手
闩,自小无闲一门生
闩,一进门就出不来
闩,今其室十无四五焉
闩,闯荡千里到天涯
闩,一闪人不见
闩,春夜倚门望夫归
闩,及第争先
埔,工部来春始扬名
埔,春来工部始扬名
埔,毕业之后到浦东
埔,拾得星月归北寺
辉,弱冠光军
辉,太阳一出化军人
辉,光荣退军
喉,工人知巧作安排
钒,融融秋色半遮帆
钒,左边锋带球沉底
跃,足使个个笑
跃,死亡也无法叫我开口
挂,扫尽残雪入闺中
移,十年走失夜夜思
移,大田高禀庆丰年
移,十年失散重逢晚
移,积少只为多
移,香初茶半又黄昏
移,丰收
移,连夜下乡到村头
移,白首连夜聚西楼
移,千人晚会
移,木字多一撇，莫做禾字猜
移,赶了半程又黄昏
移,秋后分别，岁末重逢。
移,初稿连夜完成
移,秋后分别，岁末重逢
移,楼头新月连宵见
移,西楼夜夜月如眉
移,白头立楼前，双双看黄昏
移,暗香夜夜来
汤,西湖曲径柳丝飘
汤,肠断春江欲尽头
汤,万里春光在海边
汤,畅游上海去浦东
仃,那人却在灯火澜珊处
仃,为何出口
仃,雄心争取前三甲
咽,这回改革天下安
咽,大大方方
咽,出口大方
咽,出口合同变动
咽,唱了一日人欢聚
咽,格外大方
咽,大方格
咽,心欲报恩难开口
咽,报恩有口却无心
咽,石化厂严禁烟火
冼,一生无子凉半截
冼,洗掉一点
嘀,咕嘟嘟嘟，咕嘟响声
嘀,咕咚咕咚
嘀,咕嘟咕嘟
嘀,咕嘟嘟嘟，咕嘟咕嘟
嘀,咕嘟咕嘟，和尚拜佛
谁,寄语催人下山去
谁,焦尾已失，前调尚存
烛,福建中部高温
烛,秋后的蚂蚱
烛,一来就灭虫
烛,望之似虎，射之无声。点火近之，中在石头。
烛,飞蛾扑火
烛,飞蛾扑火自烧身
烛,灭掉一虫
翻,号为霸王
翻,山色四周林木疏，禽鸟飞归足迹留
翻,孤月高悬轩窗上，双星低垂翠楼前
翻,复习一番
翻,多番复习
娓,笔下梅枝印月痕
